MLS Number,Property Type,Status,Street Number,Street Name,Unit Number,City/Location,Zip Code,County,List Price,Close Price,Close Date,Area,Subdivision,Master Planned Community,Market Area,School District,School Elementary,School Middle,School High,Sq Ft Total,Price Sq Ft List,Price Sq Ft Sold,Lot Size,Acres,Price Acre List,Price Acre Sales,Year Built,Bedrooms,Baths Full,Baths Half,Baths Total,Room Count,Fireplaces Number,Stories,New Construction,New Construction Desc,Pool Private,No Of Garage Cap,Style,DOM,CDOM,List Office MLSID,List Office Name,List Agent MLSID,List Agent Full Name,Selling Office MLSID,Selling Office Name,Selling Agent MLSID,Selling Agent Full Name,Realist Owner Name,Last Change Timestamp,List Date ,Cap_Rate
29079883,Rental,Active,150,Sabine St,453,Houston,77007,Harris,$1493.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,740,$2.02,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,12,12,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 3:30:01 AM,09/04/2019 12:00:00 AM,#N/A
7682161,Rental,Active,150,Sabine St,120,Houston,77007,Harris,$1493.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,740,$2.02,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,12,12,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 3:16:43 AM,09/04/2019 12:00:00 AM,#N/A
68281377,Rental,Active,150,Sabine St,128,Houston,77007,Harris,$1493.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,740,$2.02,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,12,12,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 2:47:21 AM,09/04/2019 12:00:00 AM,#N/A
88006800,Rental,Active,150,Sabine St,218,Houston,77007,Harris,$1493.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,740,$2.02,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,25,25,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 2:01:18 AM,08/08/2019 12:00:00 AM,#N/A
73867058,Rental,Active,150,Sabine St,126,Houston,77007,Harris,$1493.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,740,$2.02,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,25,25,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 1:55:23 AM,08/08/2019 12:00:00 AM,#N/A
72368250,Rental,Active,1707,Holly,,Houston,77007,Harris,$1495.00,,,9,Baker NSBB,,Washington East/Sabine,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,785,$1.90,,,,,,1932,2,1,0,1,6,,1,FALSE,,FALSE,0,"Traditional, Victorian",6,6,KWPT01,Keller Williams Realty,mhunzeker,Melissa Hunzeker,,,,,,09/10/2019 4:14:22 PM,09/10/2019 12:00:00 AM,#N/A
65687799,Rental,"dfg';,",320,Jackson Hill,A2,Houston,77007,Harris,$1531.00,,,16,Jackson Hill,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,732,$2.09,,207184,4.7563,$322.00,,2003,1,1,0,1,3,,1,FALSE,,FALSE,1,"Mediterranean, Traditional",54,54,MNRK01,Monark Realty,KGuerra,Kirsten Guerra,,,,,,07/24/2019 2:23:53 PM,07/24/2019 12:00:00 AM,#N/A
95320821,Rental,Active,1011,Studemont,108,Houston,77007,Harris,$1549.00,,,16,Studemont,,Rice Military/Washington Corridor,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,721,$2.15,,,,,,2015,1,1,0,1,6,,1,FALSE,,FALSE,1,,40,40,KWSG01,Keller Williams Signature,ROTHCHIL,Joe Rothchild,,,,,,09/13/2019 5:01:39 PM,08/07/2019 12:00:00 AM,#N/A
4902713,Rental,Active,150,Sabine St,430,Houston,77007,Harris,$1562.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,748,$2.09,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,25,25,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 2:01:45 AM,08/08/2019 12:00:00 AM,#N/A
19373136,Rental,Active,145,Heights Blvd,232,Houston,77007,Harris,$1575.00,,,16,HiLine Heights,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,,,,,,,,2015,2,1,0,1,2,,,FALSE,,FALSE,0,,16,16,CBAR02,"CB & A, Realtors",bellac,Bella Cruz,,,,,,08/31/2019 9:27:04 PM,08/31/2019 12:00:00 AM,#N/A
90079860,Rental,Active,3663,Washington,6003,Houston,77007,Harris,$1585.00,,,16,Memorial Heights,,Rice Military/Washington Corridor,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,603,$2.63,,172946,,,,2019,0,1,0,1,1,0,1,TRUE,To Be Built/Under Construction,FALSE,1,Contemporary/Modern,19,19,COTH01,Coton House,jvonnel,Jvonne Lowe,,,,,,08/28/2019 6:14:49 PM,08/28/2019 12:00:00 AM,#N/A
27420650,Rental,Active,820,Waverly,,Houston,77007,Harris,$1600.00,,,9,Houston Heights,,Heights/Greater Heights,27 - Houston,LOVE ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1094,$1.46,,8712,0.2,$8000.00,,1920,2,2,0,2,6,,1,FALSE,,FALSE,0,,5,5,JOCO01,Joseph and Company,JPETRIE,Joseph Petrie,,,,,,09/11/2019 10:20:49 PM,09/11/2019 12:00:00 AM,#N/A
73352633,Rental,Active,1116,Cohn,,Houston,77007,Harris,$1600.00,,,16,Rice Military,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),1341,$1.19,,7200,0.1653,$9679.00,,1950,3,2,2,2.2,3,,1,FALSE,,FALSE,2,,7,7,RHEC01,"UMG Realty, Inc.",fhgonzal,Flor Gonzales,,,,,,09/09/2019 3:42:36 PM,09/09/2019 12:00:00 AM,#N/A
66306553,Rental,Active,1011,Studemont,104,Houston,77007,Harris,$1600.00,,,16,Studemont,,Rice Military/Washington Corridor,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,721,$2.22,,,,,,2015,1,1,0,1,5,,1,FALSE,,FALSE,0,Contemporary/Modern,10,10,TRNR06,Martha Turner Sotheby's,jlucio,Jennifer Lucio,,,,,,09/06/2019 4:47:22 PM,09/06/2019 12:00:00 AM,#N/A
79213461,Rental,Active,631,Cortlandt,A,Houston,77007,Harris,$1600.00,,,9,Heights,,Heights/Greater Heights,27 - Houston,HARVARD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,648,$2.47,,7920,,,,2005,1,1,0,1,5,,2,FALSE,,TRUE,0,Traditional,12,12,CMTX01,"Compass RE Texas, LLC",cwkatz,Clayton Katz,,,,,,09/04/2019 5:29:04 PM,09/04/2019 12:00:00 AM,#N/A
43604093,Rental,Active,1011,Studemont,304,Houston,77007,Harris,$1600.00,,,16,Studemont,,Rice Military/Washington Corridor,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,721,$2.22,,17893,0.4108,$3895.00,,2015,1,1,0,1,5,,3,TRUE,Never Lived In,FALSE,1,Contemporary/Modern,17,17,CNPR01,Carnan Properties Houston LLC,Gordana,Gordana Vickers,,,,,,09/14/2019 12:37:57 PM,08/30/2019 12:00:00 AM,#N/A
56658501,Rental,Active,150,Sabine St,260,Houston,77007,Harris,$1613.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,894,$1.80,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,25,25,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 2:00:22 AM,08/22/2019 12:00:00 AM,#N/A
43952391,Rental,Active,150,Sabine St,151,Houston,77007,Harris,$1633.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,843,$1.94,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,24,24,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 2:02:46 AM,08/09/2019 12:00:00 AM,#N/A
31506309,Rental,Active,505,Jackson Hill,313,Houston,77007,Harris,$1650.00,,,16,Jackson Place Condos,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,914,$1.81,,33080,0.7594,$2173.00,,2004,1,1,0,1,5,,1,FALSE,,FALSE,1,,26,26,KWPT02,Keller Williams Realty,lgtaylor,Lauren Taylor,,,,,,08/21/2019 10:20:31 AM,08/21/2019 12:00:00 AM,#N/A
34292236,Rental,Active,5454,Washington,3511,Houston,77007,Harris,$1678.00,,,16,Pearl/Washington,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),724,$2.32,,132684,3.046,$551.00,,2015,1,1,0,1,2,,6,FALSE,,FALSE,1,,6,6,FRIS01,ULR Properties,hartless,Robert Hartless,,,,,,09/16/2019 1:22:18 PM,09/10/2019 12:00:00 AM,#N/A
4404972,Rental,Active,150,Sabine St,138,Houston,77007,Harris,$1687.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,975,$1.73,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,12,12,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 3:03:20 AM,09/04/2019 12:00:00 AM,#N/A
40823263,Rental,Active,150,Sabine St,329,Houston,77007,Harris,$1693.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,876,$1.93,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,25,25,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 2:02:15 AM,08/08/2019 12:00:00 AM,#N/A
67900155,Rental,Active,2502,Roy,,Houston,77007,Harris,$1700.00,,,9,Cottage Oaks,,Cottage Grove,27 - Houston,LOVE ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),WALTRIP HIGH SCHOOL,1182,$1.44,,6630,,,,1955,3,1,0,1,6,,1,FALSE,,FALSE,1,"Contemporary/Modern, Traditional",18,66,TRNR01,Martha Turner Sotheby's,achiang,Angela Chiang,,,,,,09/12/2019 2:15:59 PM,08/29/2019 12:00:00 AM,#N/A
58446757,Rental,Active,3663,Washington,3038,Houston,77007,Harris,$1709.00,,,16,Memorial Heights,,Rice Military/Washington Corridor,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,686,$2.49,,,,,,2019,1,1,0,1,1,,1,TRUE,To Be Built/Under Construction,FALSE,1,Contemporary/Modern,19,19,COTH01,Coton House,jvonnel,Jvonne Lowe,,,,,,08/28/2019 6:28:16 PM,08/28/2019 12:00:00 AM,#N/A
86764165,Rental,Active,5201,Me morial,228,Houston,77007,Harris,$1710.00,,,16,Bayou On Bend,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),1007,$1.70,,156102,3.5836,$477.00,,2006,1,1,0,1,1,,6,FALSE,,FALSE,1,Contemporary/Modern,76,76,CKPL01,Winhill Advisors - Kirby,laclugo,Lacie Lugo,,,,,,08/27/2019 10:55:06 AM,07/02/2019 12:00:00 AM,#N/A
38432129,Rental,Active,1505,Bonner,,Houston,77007,Harris,$1725.00,,,16,Koehler,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,920,$1.88,,2600,0.0597,$28894.00,,1920,2,1,0,1,3,0,1,FALSE,,FALSE,0,Traditional,76,76,KWPT01,Keller Williams Realty,gcvasek,Geraldine Vasek,,,,,,08/28/2019 2:18:44 PM,07/02/2019 12:00:00 AM,#N/A
42907580,Rental,Active,5353,Memorial,4064,Houston,77007,Harris,$1735.00,,,16,Memorial Park/Washington Ave,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),962,$1.80,,,,,,2000,2,1,0,1,3,,1,FALSE,,FALSE,1,"Colonial, French, Traditional",10,10,JPAS01,JPAR - The Sears Group,dagsmith,Danielle Smith,,,,,,09/06/2019 4:27:38 PM,09/06/2019 12:00:00 AM,#N/A
97683283,Rental,Active,5201,M morial,437,Houston,77007,Harris,$1745.00,,,16,Bayou On Bend,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),1088,$1.60,,156102,3.5836,$487.00,,2006,2,2,0,2,2,,6,FALSE,,FALSE,1,Contemporary/Modern,76,76,CKPL01,Winhill Advisors - Kirby,laclugo,Lacie Lugo,,,,,,07/02/2019 11:27:33 AM,07/02/2019 12:00:00 AM,#N/A
63775675,Rental,Active,150,Sabine St,211,Houston,77007,Harris,$1769.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1075,$1.65,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,25,25,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 1:56:01 AM,08/22/2019 12:00:00 AM,#N/A
66030279,Rental,Active,150,Sabine St,312,Houston,77007,Harris,$1769.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1075,$1.65,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,25,25,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 1:53:36 AM,08/22/2019 12:00:00 AM,#N/A
95104250,Rental,Active,150,Sabine St,311,Houston,77007,Harris,$1769.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1075,$1.65,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,25,25,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 1:54:09 AM,08/22/2019 12:00:00 AM,#N/A
46642840,Rental,Active,150,Sabine St,213,Houston,77007,Harris,$1769.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1075,$1.65,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,25,25,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 1:54:32 AM,08/22/2019 12:00:00 AM,#N/A
98290696,Rental,Active,6108,Tyne,B,Houston,77007,Harris,$1800.00,,,16,Adam Clay Sec 02,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),860,$2.09,,,,,,1927,2,2,0,2,4,,,FALSE,,FALSE,0,Traditional,28,54,RMSI01,RE/MAX Signature,KATHEB,Kathe Broussard,,,,,,08/23/2019 12:58:40 PM,08/19/2019 12:00:00 AM,#N/A
16807567,Rental,Active,150,Sabine St,334,Houston,77007,Harris,$1812.00,,,16,NA,,Midtown - Houston,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1028,$1.76,,,,,,1998,1,1,0,1,2,,,FALSE,,FALSE,1,,25,25,GLDM01,Goldmount Real Estate Group,zainkhan,Zain Khan,,,,,,09/04/2019 1:54:53 AM,08/22/2019 12:00:00 AM,#N/A
16133777,Rental,Active,3663,Washington,3033,Houston,77007,Harris,$1824.00,,,16,Memorial Heights,,Rice Military/Washington Corridor,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,702,$2.60,,172946,3.97,$459.00,,2019,1,1,0,1,1,,1,TRUE,To Be Built/Under Construction,FALSE,1,Contemporary/Modern,19,19,COTH01,Coton House,jvonnel,Jvonne Lowe,,,,,,08/28/2019 5:00:53 PM,08/28/2019 12:00:00 AM,#N/A
30845606,Rental,Active,2526,Roy,,Houston,77007,Harris,$1825.00,,,9,Cottage Oaks,,Cottage Grove,27 - Houston,LOVE ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),WALTRIP HIGH SCHOOL,1107,$1.65,,6100,0.14,$13036.00,,1955,3,1,0,1,3,,1,FALSE,,FALSE,0,Contemporary/Modern,4,4,JLAR01,JLA Realty,NicD,Nicole McMullen,,,,,,09/12/2019 9:59:09 PM,09/12/2019 12:00:00 AM,#N/A
48515927,Rental,Active,1518,Washington,B,Houston,77007,Harris,$1850.00,,,9,Baker W R Nsbb,,Washington East/Sabine,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,16500,$0.11,,10000,,,,1930,2,2,0,2,3,,1,FALSE,,FALSE,2,Contemporary/Modern,6,6,MRLG01,The Murland Group,lmurland,Lauren Murland,,,,,,09/10/2019 1:29:09 PM,09/10/2019 12:00:00 AM,#N/A
13478127,Rental,Active,4201,Marina,,Houston,77007,Harris,$1850.00,,,16,Harmon Place,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1100,$1.68,,3880,,,,1930,2,1,0,1,4,,1,FALSE,,FALSE,0,Traditional,28,95,LVQS01,Living Quarters LLC,Livingqt,Huonglan Nguyen,,,,,,08/19/2019 3:35:51 PM,08/19/2019 12:00:00 AM,#N/A
17529284,Rental,Active,524,Heights,4,Houston,77007,Harris,$1890.00,,,9,Houston Heights,,Heights/Greater Heights,27 - Houston,HARVARD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1050,$1.80,,9375,0.2152,$8783.00,,1950,2,2,0,2,2,,2,FALSE,,FALSE,0,Contemporary/Modern,27,105,case01,Case Realty Group Inc.        ,jerbran,Jeremy Bran,,,,,,08/20/2019 5:55:36 PM,08/20/2019 12:00:00 AM,#N/A
